id,lat,lng,expected_load,load,status
pole_0,28.86498576294692,77.28458957318776,102.93951830173167,103.39765372485631,normal
pole_1,28.797022626981466,77.0641172492495,236.80309385966314,214.78807912736582,normal
pole_2,28.4546339784955,77.35180298025827,97.47844440470112,98.746337560885,normal
pole_3,28.71759628452314,76.95784291978772,129.45747851384866,134.30572111451886,normal
pole_4,28.581519878915437,77.14214445231113,76.24555579424319,73.9608925367487,normal
pole_5,28.585524170808245,76.98435971100983,185.05445166326064,179.88085302573708,normal
pole_6,28.825331999254715,76.89306500967356,183.80110180785167,183.67060270012428,normal
pole_7,28.650101192670604,77.26610320097018,208.4058245202455,188.6682422833198,normal
pole_8,28.744215966884333,77.3737416624303,155.15169727661714,149.65606989394155,normal
pole_9,28.529068942731225,77.18107437812682,233.7829329853707,224.11182658441712,normal
pole_10,28.710658361956504,76.87505121566107,113.40197981318856,109.37381307107992,normal
pole_11,28.432437988641304,76.94406620976814,231.3144955887082,232.78882118323665,normal
pole_12,28.612050147458977,77.0154000251451,93.99015972189393,99.74271961955715,normal
pole_13,28.50735616775155,77.3991105618153,163.01470374836816,175.5596634911118,normal
pole_14,28.4319993574987,76.90426409417881,129.8781247926836,120.01660503564791,normal
pole_15,28.862348997447587,77.29353069142022,128.70161899505763,134.55227836715133,normal
pole_16,28.684755066319013,77.25290080909328,69.65794276674532,75.71339352931828,normal
pole_17,28.860493635966357,77.14351454749466,122.14965306995298,116.28361485422901,normal
pole_18,28.438453750259093,77.14827775079578,186.64498783889377,172.23464492827623,normal
pole_19,28.411041138043466,77.34510576862232,243.9399578275896,260.3677920462352,normal
pole_20,28.72910627310759,77.16334362516467,121.93046697633321,122.6580433612537,normal
pole_21,28.65188254189324,77.1273246276638,203.8643766875931,198.0734350568822,normal
pole_22,28.470641524010258,76.91830682889109,130.85749112181497,123.53218343761037,normal
pole_23,28.65405602026007,77.18886739198237,182.98828834643535,198.22350083881307,normal
pole_24,28.599938206599923,76.89420053730908,184.40845790527783,201.63070911819585,normal
pole_25,28.467922454742265,76.84552145462277,238.26487878924448,239.38818467576633,normal
pole_26,28.805085413662294,77.19692079162479,188.38150748289755,385.0582623921562,normal
pole_27,28.762211579400187,77.35372264428702,233.4574391710652,244.34967435000266,normal
pole_28,28.428444815645538,77.23674608737103,56.84678258630087,60.36515408069756,normal
pole_29,28.613086908035736,77.11395460916415,146.35345829123213,153.74003267889427,normal
pole_30,28.750821874323826,77.11004542409502,88.80945839799683,94.5367244927217,normal
pole_31,28.51582276518585,76.9989643102767,86.01093438022679,87.60646275073273,normal
pole_32,28.738981417151855,77.0947738011288,212.18165116250668,232.03716441750694,normal
pole_33,28.57270958460005,77.10520091266005,180.49141894162827,193.57638347909693,normal
pole_34,28.449201073067528,76.90749669930115,113.02220168187517,119.28502055521001,normal
pole_35,28.47323504331694,77.30819549441014,71.6312965466679,65.68270259038258,normal
pole_36,28.76365380761288,77.25848433948401,95.44190684579621,99.12883045895818,normal
pole_37,28.555384158339322,77.23526743750968,202.0628499878604,205.1057578311075,normal
pole_38,28.88960063774644,76.88467467082066,54.691750323406566,57.82111926689793,normal
pole_39,28.893347209083757,77.30020174106977,68.84245523871112,69.77325926695036,normal
pole_40,28.653681726355764,77.03127717198892,157.49350268788874,335.85488605347143,normal
pole_41,28.796642541977793,76.91126093672811,168.01854851576064,173.15811377426382,normal
pole_42,28.50928075222897,77.38840054170514,214.3469623817046,199.7248218678517,normal
pole_43,28.774624937661265,77.37579244543002,130.80632538827422,123.05427814196962,normal
pole_44,28.651108547699835,77.14841999128278,194.74111756442747,211.35743905097866,normal
pole_45,28.72058451384968,76.93946996929996,119.6296641018694,116.2642352915931,normal
pole_46,28.826255868876885,76.81944324363342,168.83288210023852,166.14752026726634,normal
pole_47,28.454050950064143,77.07865158822815,86.50739733531039,86.5250641405848,normal
pole_48,28.779495390309553,77.26974763425842,171.4892839857054,161.5714555680541,normal
pole_49,28.796588277005057,76.95584850960813,92.16380484629042,97.84546978497858,normal
pole_50,28.548695436697674,77.35570531988479,229.50889888923763,235.66092023016526,normal
pole_51,28.432723524986855,77.38545551497252,148.47793592213216,156.01077165059291,normal
pole_52,28.842848145598744,76.83584426995736,245.85054484329115,267.53800092535096,normal
pole_53,28.636954024191994,77.06503889067851,235.07728735874426,237.58136009174444,normal
pole_54,28.74338631062801,76.84020071917946,134.01256250959435,124.90794367956718,normal
pole_55,28.520360879662693,77.37178826807184,127.70064784786494,123.49176246454792,normal
pole_56,28.5909320103144,77.38867217510767,109.98736381306918,111.54825949195036,normal
pole_57,28.77522359296134,77.35207467063354,177.80322635775468,161.02223528254476,normal
pole_58,28.837605306810843,76.94477154369508,156.5341198680378,169.35813327749858,normal
